Name,kislerdm_neon


Date\Version,0.15.0,0.14.0,0.13.0,0.12.0,0.11.0,0.10.0,0.9.0,0.8.0,0.7.1,0.7.0,0.6.3,0.6.2,0.6.1,0.6.0,0.5.0,0.4.1,0.4.0,0.3.2,0.3.1,0.3.0,0.2.5,0.2.4,0.2.3,0.2.2,0.2.1,0.2.0,0.1.0,0.0.9,0.0.8,0.0.7,0.0.6,0.0.5,0.0.4,0.0.3,0.0.2,0.0.1
January,0,0,8915,3386,335,167,6004,9,323,8,1038,8,92,8,86,8,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8
February,0,0,16152,730,357,89,5970,6,275,6,1594,6,38,6,119,6,6,7,6,6,8,6,25,6,6,6,6,6,6,6,6,6,6,6,6,6
March,0,0,19324,588,362,86,6841,0,314,0,1689,0,7,0,93,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
April,0,0,62496,768,2530,296,13256,52,578,52,5886,52,256,86,212,52,56,52,52,52,52,52,54,52,52,52,62,52,52,52,52,52,52,52,52,52
May,0,0,88432,1402,3340,294,11102,72,438,72,2140,72,376,72,252,72,72,72,72,72,98,72,72,72,72,72,76,72,72,72,72,72,72,72,72,72
June,0,0,96008,1558,2440,302,10334,68,310,68,2750,68,116,68,160,68,68,68,68,68,82,68,70,68,68,68,88,68,68,68,68,68,68,68,68,68
July,0,56944,87664,1502,2102,422,11554,20,228,20,6674,20,58,20,48,20,20,20,20,20,74,20,20,20,20,20,294,20,20,20,20,20,20,20,20,20
August,125088,21818,77520,980,2680,590,12234,0,578,0,6336,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0
September,15316,1428,8235,94,196,3,1056,0,74,0,179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2026,140404,80190,464746,11008,14342,2249,78351,227,3118,226,28286,226,943,262,987,226,230,227,226,226,325,226,249,226,226,226,929,227,226,226,226,226,226,226,226,226

January,0,0,0,0,0,0,0,0,0,0,3358,8,101,8,253,59,8,8,8,9,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8
February,0,0,0,0,0,0,213,192,469,54,3228,10,155,6,164,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
March,0,0,0,0,0,0,3498,11,292,6,1955,6,289,6,182,19,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
April,0,0,0,0,0,0,4666,4,376,2,1930,2,133,2,211,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2
May,0,0,0,0,0,0,11723,0,86,0,1278,0,62,0,126,3,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,0,0,0,0,0,0,14110,4,4,4,1193,4,74,4,97,4,4,6,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
July,0,0,0,0,0,0,9972,8,14,8,1717,8,102,8,113,15,8,9,8,8,23,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
August,0,0,0,0,0,0,9171,6,33,6,702,6,47,50,100,6,6,6,6,6,36,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6
September,0,0,0,0,0,0,9416,9,114,8,705,8,26,8,51,8,8,8,8,8,8,8,12,8,8,8,26,8,8,8,8,8,8,8,8,8
October,0,0,0,0,1172,2439,9494,8,387,8,980,8,27,8,75,8,8,8,8,8,59,8,8,8,8,8,10,8,8,8,8,8,8,8,8,8
November,0,0,0,6640,1529,409,6427,8,385,9,1136,10,73,8,140,8,8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
December,0,0,0,10275,344,169,5886,2,413,2,886,2,22,2,156,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2025,0,0,0,16915,3045,3017,84576,252,2573,107,19068,72,1111,110,1668,151,66,69,67,67,204,70,70,66,69,67,86,66,66,66,66,66,66,66,66,66

January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,244,201,62,145,71,65,83,62,62,62,62,62,62,62,62,62,62,62,62
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,455,68,200,66,66,66,72,66,66,66,66,66,66,66,66,66,66,66,66,66
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,312,139,82,70,70,70,82,176,90,70,70,70,70,70,70,70,70,70,70,70,70
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,106,75,62,62,62,62,62,94,62,62,62,62,62,62,62,62,62,62,62,62,62
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,202,75,58,58,58,58,58,72,58,58,58,58,58,58,58,58,58,58,58,58,58
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,35,44,32,32,32,32,100,34,33,32,32,32,32,32,32,32,32,32,32,32,32
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2585,52,21,8,8,8,8,52,25,8,8,8,8,8,8,8,8,8,8,8,8,8
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924,9,7,6,6,6,6,36,21,6,6,6,6,6,6,6,6,6,6,6,6,6
September,0,0,0,0,0,0,0,0,0,0,0,0,61,285,2695,4,15,4,4,4,4,37,4,4,4,4,4,4,4,4,4,4,4,4,4,4
October,0,0,0,0,0,0,0,0,0,0,1062,23,430,109,963,111,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
November,0,0,0,0,0,0,0,0,0,0,2546,11,154,96,951,52,8,8,8,8,8,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8
December,0,0,0,0,0,0,0,0,0,0,3313,8,30,8,108,11,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2024,0,0,0,0,0,0,0,0,0,0,6921,42,675,498,17366,943,936,590,667,394,477,621,589,436,394,394,394,394,394,394,394,394,394,394,394,394

January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,36,38,36,42,42,42,40,40,40
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,4,4,4,4,4,4,4,4
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,6,6,6,6,6,6,6,6
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,10,10,10,10,10,10,10,10
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,10,10,10,10,10,10,10,10
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,12,12,12,12,12,12,12,12,12
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,10,10,10,10,10,10,10,10,10
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,21,319,6,6,6,6,6,6,6,6,6
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,402,38,219,38,38,38,38,38,38,38,38,38
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,170,433,67,62,62,62,62,62,62,62,62,62,62,62
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,149,75,126,71,68,68,68,68,68,68,68,68,68,67,68
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,38,175,69,79,57,54,54,54,54,54,54,54,54,54,54,54,54
