Name,kislerdm_neon


Date\Version,0.7.1,0.7.0,0.6.3,0.6.2,0.6.1,0.6.0,0.5.0,0.4.1,0.4.0,0.3.2,0.3.1,0.3.0,0.2.5,0.2.4,0.2.3,0.2.2,0.2.1,0.2.0,0.1.0,0.0.9,0.0.8,0.0.7,0.0.6,0.0.5,0.0.4,0.0.3,0.0.2,0.0.1
January,0,0,3358,8,101,8,253,59,8,8,8,9,8,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8
February,258,54,2787,10,48,6,125,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2025,258,54,6145,18,149,14,378,76,14,14,14,15,14,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14

January,0,0,0,0,0,0,0,0,79,244,201,62,145,71,65,83,62,62,62,62,62,62,62,62,62,62,62,62
February,0,0,0,0,0,0,0,49,455,68,200,66,66,66,72,66,66,66,66,66,66,66,66,66,66,66,66,66
March,0,0,0,0,0,0,640,312,139,82,70,70,70,82,176,90,70,70,70,70,70,70,70,70,70,70,70,70
April,0,0,0,0,0,0,1312,106,75,62,62,62,62,62,94,62,62,62,62,62,62,62,62,62,62,62,62,62
May,0,0,0,0,0,0,2085,202,75,58,58,58,58,58,72,58,58,58,58,58,58,58,58,58,58,58,58,58
June,0,0,0,0,0,0,1103,35,44,32,32,32,32,100,34,33,32,32,32,32,32,32,32,32,32,32,32,32
July,0,0,0,0,0,0,2585,52,21,8,8,8,8,52,25,8,8,8,8,8,8,8,8,8,8,8,8,8
August,0,0,0,0,0,0,4924,9,7,6,6,6,6,36,21,6,6,6,6,6,6,6,6,6,6,6,6,6
September,0,0,0,0,61,285,2695,4,15,4,4,4,4,37,4,4,4,4,4,4,4,4,4,4,4,4,4,4
October,0,0,1062,23,430,109,963,111,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
November,0,0,2546,11,154,96,951,52,8,8,8,8,8,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8
December,0,0,3313,8,30,8,108,11,8,8,8,8,8,30,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2024,0,0,6921,42,675,498,17366,943,936,590,667,394,477,621,589,436,394,394,394,394,394,394,394,394,394,394,394,394

January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,36,38,36,42,42,42,40,40,40
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,4,4,4,4,4,4,4,4
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,6,6,6,6,6,6,6,6
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,10,10,10,10,10,10,10,10
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,10,10,10,10,10,10,10,10
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,12,12,12,12,12,12,12,12,12
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,10,10,10,10,10,10,10,10,10
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,21,319,6,6,6,6,6,6,6,6,6
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,402,38,219,38,38,38,38,38,38,38,38,38
October,0,0,0,0,0,0,0,0,0,0,0,0,0,53,170,433,67,62,62,62,62,62,62,62,62,62,62,62
November,0,0,0,0,0,0,0,0,0,0,0,0,333,149,75,126,71,68,68,68,68,68,68,68,68,68,67,68
December,0,0,0,0,0,0,0,0,0,0,46,38,175,69,79,57,54,54,54,54,54,54,54,54,54,54,54,54
2023,0,0,0,0,0,0,0,0,0,0,46,38,508,271,324,744,670,243,1296,316,318,316,322,322,322,320,319,320

